BN	TN	SubNum	group	hand	isTrain	isChanged	seq	cue	digitChangePos	precueTime	windowSize	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	crossTime	
6	12	5	0	2	1	0	35421252143	35421252143	4	0	3	3	5	4	2	1	2	5	2	1	4	3	600.000	2520.000	3120.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	605.000	855.000	1105.000	1340.000	1575.000	1795.000	2095.000	2365.000	2620.000	2805.000	2925.000	3066.000	2861.600	0	-1	6340	-1	-1	1	0	0	
6	13	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	600.000	2065.000	2665.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	605.000	785.000	1070.000	1275.000	1445.000	1620.000	1835.000	1975.000	2190.000	2390.000	2490.000	3066.000	2861.600	0	-1	5885	-1	-1	1	0	0	
6	14	5	0	2	1	0	13524232514	13524232514	4	0	11	1	3	5	2	4	2	3	2	5	1	4	560.000	1800.000	2360.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	565.000	695.000	955.000	1125.000	1285.000	1435.000	1600.000	1710.000	1900.000	2060.000	2170.000	3066.000	2861.600	0	-1	5580	-1	-1	1	0	0	
6	15	5	0	2	1	0	35421252143	35421252143	4	0	2	3	5	4	2	1	2	5	2	1	4	3	560.000	2680.000	3240.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	565.000	780.000	1110.000	1440.000	1695.000	1940.000	2280.000	2540.000	2825.000	2955.000	3075.000	3066.000	2861.600	0	-1	6460	-1	-1	1	0	0	
6	16	5	0	2	1	0	35421252143	35421252143	4	0	4	3	5	4	2	1	2	5	2	1	4	3	955.000	2495.000	3450.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	960.000	1155.000	1380.000	1600.000	1810.000	2030.000	2285.000	2655.000	3015.000	3170.000	3270.000	3066.000	2861.600	0	-1	6670	-1	-1	1	0	0	
6	17	5	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	610.000	1715.000	2325.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	615.000	750.000	995.000	1170.000	1330.000	1465.000	1620.000	1725.000	1890.000	2060.000	2155.000	3066.000	2861.600	0	-1	5545	-1	-1	1	0	0	
6	18	5	0	2	1	0	35421252143	35421252143	4	0	4	3	5	4	2	1	2	5	2	1	4	3	560.000	2295.000	2855.000	0	0	3	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	565.000	785.000	990.000	1190.000	1390.000	1590.000	1860.000	2190.000	2415.000	2560.000	2685.000	3066.000	2861.600	0	-1	6075	-1	-1	1	0	0	
6	19	5	0	2	1	0	35421252143	35421252143	4	0	2	3	5	4	2	1	2	5	2	1	4	3	845.000	2500.000	3345.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	850.000	1020.000	1275.000	1470.000	1680.000	1955.000	2420.000	2670.000	2965.000	3080.000	3180.000	3066.000	2861.600	0	-1	6565	-1	-1	1	0	0	
6	20	5	0	2	1	0	13524232514	13524232514	4	0	3	1	3	5	2	4	2	3	2	5	1	4	575.000	4030.000	4605.000	1	0	0	1	3	2	4	2	2	3	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	580.000	730.000	1115.000	1275.000	1425.000	2450.000	2705.000	3245.000	3435.000	4320.000	4400.000	3066.000	2861.600	0	-1	7825	-1	-1	1	0	0	
6	21	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	640.000	2550.000	3190.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	645.000	865.000	1130.000	1360.000	1570.000	1850.000	2260.000	2540.000	2795.000	2940.000	3035.000	3066.000	2861.600	0	-1	6410	-1	-1	1	0	0	
6	22	5	0	2	1	0	35421252143	35421252143	4	0	3	3	5	4	2	1	2	5	2	1	4	3	680.000	2350.000	3030.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	685.000	900.000	1125.000	1315.000	1530.000	1765.000	2045.000	2305.000	2605.000	2750.000	2865.000	3066.000	2861.600	0	-1	6250	-1	-1	1	0	0	
6	23	5	0	2	1	0	35421252143	35421252143	4	0	3	3	5	4	2	1	2	5	2	1	4	3	560.000	2290.000	2850.000	0	0	3	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	565.000	795.000	980.000	1180.000	1375.000	1580.000	1875.000	2125.000	2345.000	2560.000	2680.000	3066.000	2861.600	0	-1	6070	-1	-1	1	0	0	
6	24	5	0	2	1	0	13524232514	13524232514	4	0	11	1	3	5	2	4	2	3	2	5	1	4	585.000	1985.000	2570.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	590.000	730.000	985.000	1160.000	1370.000	1535.000	1750.000	1880.000	2080.000	2290.000	2370.000	3066.000	2861.600	0	-1	5790	-1	-1	1	0	0	
6	25	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	595.000	2360.000	2955.000	0	0	2	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	600.000	815.000	1090.000	1295.000	1510.000	1660.000	1850.000	1990.000	2370.000	2585.000	2765.000	3066.000	2861.600	0	-1	6175	-1	-1	1	0	0	
6	26	5	0	2	1	0	13524232514	13524232514	4	0	4	1	3	5	2	4	2	3	2	5	1	4	520.000	1865.000	2385.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	525.000	685.000	905.000	1065.000	1250.000	1405.000	1620.000	1775.000	1935.000	2105.000	2210.000	3066.000	2861.600	0	-1	5605	-1	-1	1	0	0	
6	27	5	0	2	1	0	13524232514	13524232514	4	0	2	1	3	5	2	4	2	3	2	5	1	4	510.000	1805.000	2315.000	1	0	0	1	3	5	2	4	2	3	2	5	2	1	2	2	2	2	2	2	2	2	2	2	2	515.000	695.000	935.000	1090.000	1275.000	1430.000	1585.000	1695.000	1860.000	1995.000	2075.000	3066.000	2861.600	0	-1	5535	-1	-1	1	0	0	
6	28	5	0	2	1	0	35421252143	35421252143	4	0	11	3	5	4	2	1	2	5	2	1	4	3	635.000	3450.000	4085.000	1	0	0	3	5	2	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	640.000	865.000	1095.000	1750.000	2055.000	2360.000	3055.000	3315.000	3570.000	3775.000	3905.000	3066.000	2861.600	0	-1	7305	-1	-1	1	0	0	
6	29	5	0	2	1	0	35421252143	35421252143	4	0	4	3	5	4	2	1	2	5	2	1	4	3	595.000	2415.000	3010.000	0	0	2	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	600.000	840.000	1090.000	1260.000	1465.000	1735.000	2020.000	2260.000	2550.000	2715.000	2835.000	3066.000	2861.600	0	-1	6230	-1	-1	1	0	0	
6	30	5	0	2	1	0	13524232514	13524232514	4	0	3	1	3	5	2	4	2	3	2	5	1	4	640.000	1995.000	2635.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	645.000	810.000	1055.000	1215.000	1415.000	1565.000	1780.000	1875.000	2115.000	2305.000	2470.000	3066.000	2861.600	0	-1	5855	-1	-1	1	0	0	
6	31	5	0	2	1	0	35421252143	35421252143	4	0	3	3	5	4	2	1	2	5	2	1	4	3	620.000	2500.000	3120.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	625.000	825.000	1110.000	1320.000	1535.000	1750.000	2105.000	2350.000	2565.000	2745.000	2940.000	3066.000	2861.600	0	-1	6340	-1	-1	1	0	0	
6	32	5	0	2	1	0	13524232514	13524232514	4	0	3	1	3	5	2	4	2	3	2	5	1	4	620.000	2705.000	3325.000	0	0	1	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	625.000	795.000	1095.000	1350.000	1600.000	1910.000	2110.000	2650.000	2825.000	3035.000	3155.000	3066.000	2861.600	0	-1	6545	-1	-1	1	0	0	
7	1	5	0	2	1	0	35421252143	35421252143	4	0	2	3	5	4	2	1	2	5	2	1	4	3	865.000	2605.000	3470.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	870.000	1150.000	1370.000	1630.000	1950.000	2175.000	2490.000	2695.000	2965.000	3120.000	3255.000	3029.250	2827.300	0	-1	6690	-1	-1	1	0	0	
7	2	5	0	2	1	0	13524232514	13524232514	4	0	11	1	3	5	2	4	2	3	2	5	1	4	525.000	2130.000	2655.000	0	0	3	1	3	5	2	4	2	3	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	530.000	670.000	930.000	1110.000	1315.000	1495.000	1695.000	1925.000	2115.000	2325.000	2460.000	3029.250	2827.300	0	-1	5875	-1	-1	1	0	0	
